,link,text,user,likes,quotes,retweets,comments
0,https://twitter.com/elonmusk/status/1775792293389218212#m,"Did you know that it costs as little as 3 cents per ad click on this platform?  Make sure your ad is interesting and clear, just like a viral post would be and the results will amaze you.",Elon Musk,74950,597,9146,8403
1,https://twitter.com/elonmusk/status/1775941024000377206#m,Daily Show 🙌,Elon Musk,43902,272,7282,3925
2,https://twitter.com/elonmusk/status/1775928212805103945#m,This is crazy!,Elon Musk,115770,1321,30016,9685
3,https://twitter.com/elonmusk/status/1775924494361850119#m,Yes,Elon Musk,15661,147,2073,3218
4,https://twitter.com/SawyerMerritt/status/1775916850636853588#m,"NEWS: EV sales hit record high in Australia in March, as Tesla Model Y overtakes Toyota Hilux. https://thedriven.io/2024/04/04/ev-sales-hit-record-high-of-10464-in-march-as-tesla-crashes-into-australias-top-6-brands/",Sawyer Merritt,4980,36,667,481
5,https://twitter.com/elonmusk/status/1775902132958298251#m,This momentum will increase dramatically as we integrate AI-generated news trends & search into 𝕏,Elon Musk,32163,271,5676,4027
6,https://twitter.com/elonmusk/status/1775900800520262071#m,System purge of bots & trolls underway.   Please reply to me or @XEng if legitimate accounts are suspended.   X Corp will be tracing the people responsible and bringing the full force of the law to bear upon them.,Elon Musk,159948,6602,27436,29307
7,https://twitter.com/XEng/status/1775623364008128542#m,"X is redefining video, one pixel at a time.  We’ve upgraded our infrastructure and are shipping new updates to improve video.  80% of users consume video on X every day. And almost 70% of all users who watch videos are also scrolling through conversations.",Engineering,7607,61,1113,1052
8,https://twitter.com/elonmusk/status/1775729136612647086#m,"I’m cool with adults doing whatever they want, so long as it doesn’t harm others, but kids need to be protected at all costs",Elon Musk,217654,1814,45177,11659
9,https://twitter.com/cb_doge/status/1775666039864295510#m,𝕏 has just released the latest data and numbers:  • ~3 million calls were made on 𝕏 in the last month  • Over 2 million 𝕏 Spaces were created last month with over 2.4 million hrs of content  • 6.4 million Spaces created this year  • Members are spending 495% more time in 𝕏 Communities  • Users are spending 118% more time in their DMs  • 80% of users consume video on 𝕏 everyday,DogeDesigner,8095,92,1457,1057
10,https://twitter.com/elonmusk/status/1775676175618310147#m,Community Notes now active on India!,Elon Musk,63683,909,6082,4798
11,https://twitter.com/elonmusk/status/1775645554569310321#m,This will be the first commercial space walk!,Elon Musk,58146,271,8829,4681
12,https://twitter.com/cb_doge/status/1774880248368353365#m,"𝕏 > Instagram, TikTok, Facebook",DogeDesigner,10132,115,1617,1217
