text,eng_text
"Teniendo los conceptos básicos claros, implementando una lógica basada en las buenas prácticas y el entendimiento d… https://t.co/gDEui5wJCA","Having clear basic concepts, implementing logic based on good practices and understanding of… https://t.co/gDEui5wJCA"
"Si quieres aprender a programar, intenta aprender primero los conceptos básicos y no apresurarte a manejar un Frame… https://t.co/gte3jx12ER","If you want to learn to program, try to learn the basics first and not rush to handle a Frame… https://t.co/gte3jx12ER"
"Al final me compré la cartera de #JavaScript , mientras hago un curso de #Python 
🤣 #ITGirl https://t.co/l8F2VlVzur","In the end I bought the #JavaScript portfolio, while taking a #Python course
🤣 #ITGirl https://t.co/l8F2VlVzur"
"🏅🏅🏅🏅APRENDE PYTHON🏅🏅🏅🏅
👨🏻‍💻👨🏻‍💻👨🏻‍💻👨🏻‍💻 INSCRÍBETE HOY👨🏻‍💻👨🏻‍💻👨🏻‍💻👨🏻‍💻
💥💥Libros y Curso Disponibles💥💥

#python… https://t.co/b26XXXAxEQ","🏅🏅🏅🏅LEARN PYTHON🏅🏅🏅🏅
💻👨🏻‍💻👨🏻‍💻👨🏻‍💻👨🏻‍ 💻
💥💥Books and Course Available💥💥

#python… https://t.co/b26XXXAxEQ"
"Ya queda menos y #needoc empieza a coger forma 🤩

@hacka_boss #vue #node #js #javascript #MySQL #visualstudiocode… https://t.co/MohxnnKGPp","There's less to go and #needoc is starting to take shape 🤩

@hacka_boss #vue #node #js #javascript #MySQL #visualstudiocode… https://t.co/MohxnnKGPp"
En directo en #Minecraft server tierrasamigos #4!!pasando un ratete decorando el pueblo comunitario!! :D de chill y… https://t.co/lAC7ow4zX6,Live on #Minecraft server Tierrasamigos #4!! Having a great time decorating the community town!! :D from chill and… https://t.co/lAC7ow4zX6
"Si tu sitio web tiene animaciones que podrian afectar su performance, entonces este plugin javascript puede serte u… https://t.co/J3F7OTnce8","If your website has animations that could affect its performance, then this javascript plugin can help you… https://t.co/J3F7OTnce8"
"✨ ¡Nuevo evento de HorchataJS! ✨ 

Web Scraping con JS
🗣️ Mario Menjívar (@mariomenjr), Software Engineer en Rapid… https://t.co/AnHnCeaY0D","✨ New HorchataJS event! ✨

Web Scraping with JS
🗣️ Mario Menjívar (@mariomenjr), Software Engineer at Rapid… https://t.co/AnHnCeaY0D"
"#JavaScript

El Operador de Propagación (#Spread #Operator) permite que una expresión sea expandida en situaciones… https://t.co/odp9SDrUTD","#JavaScript

The Spread Operator (#Spread #Operator) allows an expression to be expanded in situations… https://t.co/odp9SDrUTD"
#Código de #JavaScript - Taken o Puzzle de deslizamiento de piezas https://t.co/RlnUk7fR9U https://t.co/7mHw4h0GJl,#JavaScript #Code - Taken or Piece Sliding Puzzle https://t.co/RlnUk7fR9U https://t.co/7mHw4h0GJl
